authors,comments
Muhamad Ayra,"KOMPAS TV, BTV GITU LOH. CUMA NANYA SIAPA YG DISURVEY"
Nur Wati,Abal-abal 😅😅😅😅😅
Ardi Aja,Ogah milih calon yg suka nonton barang haranm
Ardi Aja,"Kenapa ya ganjar suka nonton bokef,  padahal dlm islam haram"
Mamad,Coba kalau kalian berani langsung polling terbuka.. 😅
heden jaya,"Pak ganjar sy dukung di pasangkan sama pak ahok,pasti gol mimpin indonesia❤"
Dwiky Darmawan,Ganjar pranowo Andika Perkasa
Riad Sidik,Pikada dki terulang lagi survei survei bermunculan keyataan pakta sama realita jauh tau tau yg buncit yg bisa menang
Iwan Apriliyanto,KETURUNAN YAMAN BERBAHAYA UNTUK NKRI...
Okezone RO,Yang cerdas pasti dukung pak ganjar
Riza Aspahani,Hari gini masih ada yg percaya Lembaga Survey 😅😅😅😅😅<br><br>Lucuuuuu....😅😅😅😅
saran pribadi,Lebih baik percaya sama tukang sulap dari pada tukang survei
sunnyxx_cutie,Semoga terus meroket pak Ganjar
Next Time Bro,Cuma Di Indonesia Presiden Menang Sebelum Di Coblos😂
Dafa Dafa,Surve apa an ini rakyat yg milih bukan partai hidup Prabowo
ashary ghina,Ganjar pranowo gaspol
fajar gunawan,Prabowo Presiden 🇮🇩
Bowo Rumekso,Survey versi tim sukses 😂😂
basori adi,"Pola Pilkada DKI sedang berjalan reborn. Semoga Allah swt melindungi beliau dari kejahatan tangan2 kotor bayaran, hamba2 iblis yang anti kebenaran."
alam ghoib,Ganjar mantap
Muhammad Reza afandy,prabowo maju terus. insyaallah kami sekeluarga akan mendukung
hadir slalu,Sukses slalu pak Ganjar Pranowo 👍
Olhex Odhex,Anies tetap di hati
Sofyrizal 007,"Survey sekarang masyarakat udah tak open lagi karena bisa dibeli, he, he, wsdlm"
Syahwan Rama,Ko Anis gak maik2 sih <br>Kan sudah pke tenaga Surya
